,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Range,Hazardous,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Material,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection,Thread Standard,Max Set Pressure,Thread Size,Maximum Operating Temperature,Application,Grade,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Weight,Size,Colour,Operating Temperature,Warranty,Connection Size (mm),Actuator Type,Ball Material,Handle Material,Handle Type,Number of Ports,Operator Type,Seat Material,Bio Fuels,Oil Supply Pipe Connection,Temperature Rating,Nominal Fuel Flow Rate Diesel,Nominal Fuel Flow Rate Kerosine,Manual Reset,Body Material,Manual,Material Type,Thickness,Diameter,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Boiler Section,Boiler Range,Part Gas Council number,Voltage Rating,Dimensions mm (H x W x D),Protection Time,Drainage Product Type,Resistance Features
315,PK59040,"Crane FS621 F621 lever operated butterfly valve PN16 5""",Crane,1624.18,"Suitable for potable water applications, this Crane FS621 lever-operated butterfly valve is supplied with 5"" connections.  A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane FS621 F621 lever operated butterfly valve PN16 5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/40/NW-K59040_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_PN16_ButterflyValve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_F621_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PK17823,CRANE D171ATH BSP DZR BALL VALVE PN25 15,Crane,51.92,"The compact and light Crane D171ATH threaded bronze manual ball valve with T-handle is simple to install and operate, offering 15mm BSP tapered connections. This valve provides full flow with minimum turbulence in the open position and a bubble-tight seal in the closed position. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> CRANE D171ATH BSP DZR BALL VALVE PN25 15",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/23/NW-K17823_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_D171ATH_D171ALS_BallValve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D171_1907008_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_CopperAlloy_Ball_Valve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PK16554,Crane y-strainer PN16 20mm (BSP) Bronze,Crane,136.19,"This Crane D298 Y-strainer is made of bronze and incorporates 3/4"" BSP female taper end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane y-strainer PN16 20mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/58/NW-K16553_K16558_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_D298_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D298_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PK22304,Hattersley Fig 100 DZR ball valve (BSP) PN25 20mm,Hattersley,33.07,"The Hattersley Fig 100 lever operated ball valve is easy to install, compact and lightweight and is supplied with 20mm BSP tapered connections. Made of DZR brass, this robust valve offers full flow with minimum turbulence in the open position and bubble tight closure in the closed position. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Hattersley Fig 100 DZR ball valve (BSP) PN25 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/08/NW-K22303_K22308_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Hattersley_Fig100_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hattersley_Fig100_BallValve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Hattersley_Fig100_EXT_BallValve_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PK29648,Pegler Proflow 1250SF metering station 50mm (BSPP),Pegler,78.44,This Pegler Proflow 1250SF DZR fixed orifice commissioning station with flow measurement function includes 50mm BSP parallel connections.,"Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Pegler Proflow 1250SF metering station 50mm (BSPP)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/48/NW-K29648_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Pegler_1250_Commis_Valve_WRAS_Certi.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Pegler_Precise_Balancing_Commi_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Pegler_1250_DR_MS_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,P143378,Joule Ancillaries HZK-0V-0000028 ISO valve 25mm Red,Joule,13.39,"Designed specifically for use in UK plumbing systems, this Joule Ancillarie ISO pressure reducing ball valve is made of robust brass and has a simple red colour quarter-turn lever handle for ease of operation. It is fitted using a 28mm female threaded connection.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Joule Ancillaries HZK-0V-0000028 ISO valve 25mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/78/143378_wm.jpg,,,28 mm,Threaded,Ancillaries,N,0,10,Female,Brass,,WRAS,HZK-0V-0000028,Pressure Reducing Valves,N,Lever-style operating handle,Suitable for use in hot water services,Easy to operate,"Simple, quarter-turn to open/close",Brass construction,Red colour handle,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PK75521,Socla strainer 100mm Cast Iron,Socla,1453.84,"This 76N Y-strainer is made of cast iron with 100mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Socla strainer 100mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/23/NW-K75518_K75523_wm.jpg,,,100 mm,Flange,,N,,,,Ductile Iron,,,149B3264,Y-Strainer,N,Operating temperature 0 - 100°C,Flanged connections,Stainless steel strainer screen,KIWA Regulation 4 (KUKreg4) Certified,Complies with Regulation 4(1)a of the Water Supply (Water Fittings) Regulations 1999 England & Wales: 2009 Northern Ireland and 2014 Byelaws Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 to 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PM70331,JET Range PFST phenolic block 15NB/22CU x 30 x 100mm,JET Range,8.51,This 30mm Jet phenolic block insulation for 15NB/22CU pipes provides excellent thermal insulation while offering reliable resistance against fire and moisture.,"Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range PFST phenolic block 15NB/22CU x 30 x 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/31/NW-M70328_M70331_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Exco_Industries_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Phenolic_Block_Matrix_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,P170804,Pegler Valve ball valve (BSPT) 20mm Brass and handle Red,Pegler,32.94,"This vandal-proof Pegler PB500 lever operated manual ball valve has a full bore valve with quarter-turn operation and blow-out-proof assembly. It has 20mm BSP female end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Pegler Valve ball valve (BSPT) 20mm Brass and handle Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/09/NW-170803_170809_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Pegler_PB300_PB500_PB700_BSI_Certi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_Ball_Valve_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_77258686_Valve_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PK30470,Pegler Proflow cast iron double regulating valve PN16 80mm,Pegler,487.02,"The Pegler Proflow V952 double regulating valve provides isolation and regulation of sections of pipework and equipment in HVAC and general commercial applications. Featuring 80mm flanged connections, this valve has a non-rising stem and handwheel operation.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Pegler Proflow cast iron double regulating valve PN16 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/71/NW-K30470_K30471_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Pegler_V952_V952V_DRV_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PK13720,Crane ProBalance D933 low field double regulator valve and measurement device 15mm,Crane,306.26,"This Crane ProBalance D933 low flow double regulating valve provides precise and accurate flow regulation and management. Fitted with 15mm BSP tapered connections, this valve offers an accuracy of +/-5% on all settings. With an integral fixed orifice design greater accuracy is provided and set-up is simpler with fewer connections required, lowering installation costs.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane ProBalance D933 low field double regulator valve and measurement device 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/21/NW-K13720_K13721_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_D931_933_934_FODRV_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_D921_923_931_934_BV_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Crane_D921_923_931_933_934_WRAS_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ra/ph/Crane_D934_D984P_Flow_Measure_Graph.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PK13893,Crane ProBalance flow measurement device 200mm,Crane,3736.33,"The Crane ProBalance DM900 flow measurement device is employed as a single unit or can be close coupled to other regulating or isolating valves to provide accurate flow measurement. Fitted with 200mm flanged connection, this device is suitable for use with PN10, PN16, or PN25 flanges or flanged valves with ratings detailed in the appropriate flange or valve product standard.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane ProBalance flow measurement device 200mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/93/NW-K13887_K13893_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Crane_DM900_WRAS_Certi.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_DM900_Flow_Measure_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_DM900_Flow_Measure_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ra/ph/Crane_DM900_941_950G_DA941_Graph.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,P619327,"Henry Technologies 937205 schraeder+ ball valve 5/8""",Henry Technologies,25.47,"Ball valves are used in a wide variety of air conditioning and refrigeration applications. They can be used for both liquid and gas applications. This type of valve is commonly used for isolating purposes. All valves are suitable for CO2, HCFC and HFC refrigerants along with their associated oils.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Henry Technologies 937205 schraeder+ ball valve 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Pic of Ball Valve_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Henry_64-66_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,PK17328,"Crane Spares D171A spare extension kit 2""",Crane,21.5,"Easy to install and operate, this lightweight and compact Crane D171A extension kit is compatible with the brand's D171A threaded DZR ball valve with 2"" connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane Spares D171A spare extension kit 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/28/NW-K17325_K17328_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D171A-D171AEXS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D171_1907008_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,P531459,Intatec Ball Valves BBV209315R butterfly handle ball valve 15mm Red,Intatec,8.35,"Made of brass, this Intatec two-port isolating ball valve is designed with blow-out resistant stems, double Viton seals and 15mm compression connections. It has a red butterfly-type handle.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Intatec Ball Valves BBV209315R butterfly handle ball valve 15mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/59/NW-531459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Intatec_Ball_Valves_Technical_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PK65636,JET Range BBV24R copper x copper lever ball valve 54mm Red,JET Range,343.22,"This JET Range BBV24R lever manual ball valve with brass body and PTFE seat includes 54mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV24R copper x copper lever ball valve 54mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/36/NW-K65631_K65636_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PK74429,* JET FIG 73N BSTE CI GATE VALVE      65,JET Range,817.28,"This JET Range 73N gate valve includes 65mm flanged connections. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multiturn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> * JET FIG 73N BSTE CI GATE VALVE      65",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/31/NW-K74429_K74431_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
